Seed: 1699069478
Data loaded
Train Images: 60000
Train Labels: 60000
Test Images: 10000
Test Labels: 10000
i:0 | Mean Loss: 129.4 | Last Output: 16.38 | Label: 5
i:5000 | Mean Loss: 21.41 | Last Output: 6.58 | Label: 7
i:10000 | Mean Loss: 16.02 | Last Output: 3.256 | Label: 3
i:15000 | Mean Loss: 13.91 | Last Output: 5.699 | Label: 5
i:20000 | Mean Loss: 12.74 | Last Output: 5.114 | Label: 5
i:25000 | Mean Loss: 11.96 | Last Output: 4.673 | Label: 3
i:30000 | Mean Loss: 11.44 | Last Output: 3.943 | Label: 3
i:35000 | Mean Loss: 11.08 | Last Output: 4.179 | Label: 1
i:40000 | Mean Loss: 10.79 | Last Output: 5.186 | Label: 7
i:45000 | Mean Loss: 10.58 | Last Output: 3.699 | Label: 3
i:50000 | Mean Loss: 10.39 | Last Output: 3.993 | Label: 3
i:55000 | Mean Loss: 10.22 | Last Output: 4.556 | Label: 1
Epoch: 0 | Loss: 10.07 | Train Accuracy: 0.09487 | Test Accuracy: 0.0972
i:0 | Mean Loss: 0.1378 | Last Output: 5.371 | Label: 5
i:5000 | Mean Loss: 8.417 | Last Output: 5.493 | Label: 7
i:10000 | Mean Loss: 8.506 | Last Output: 3.924 | Label: 3
i:15000 | Mean Loss: 8.558 | Last Output: 4.947 | Label: 5
i:20000 | Mean Loss: 8.543 | Last Output: 4.842 | Label: 5
i:25000 | Mean Loss: 8.491 | Last Output: 4.484 | Label: 3
i:30000 | Mean Loss: 8.461 | Last Output: 4.31 | Label: 3
i:35000 | Mean Loss: 8.462 | Last Output: 4.276 | Label: 1
i:40000 | Mean Loss: 8.448 | Last Output: 4.717 | Label: 7
i:45000 | Mean Loss: 8.461 | Last Output: 3.938 | Label: 3
i:50000 | Mean Loss: 8.456 | Last Output: 3.959 | Label: 3
i:55000 | Mean Loss: 8.439 | Last Output: 4.728 | Label: 1
Epoch: 1 | Loss: 8.417 | Train Accuracy: 0.09567 | Test Accuracy: 0.0964
i:0 | Mean Loss: 0.009702 | Last Output: 5.099 | Label: 5
i:5000 | Mean Loss: 8.202 | Last Output: 5.395 | Label: 7
i:10000 | Mean Loss: 8.293 | Last Output: 4.154 | Label: 3
i:15000 | Mean Loss: 8.355 | Last Output: 4.861 | Label: 5
i:20000 | Mean Loss: 8.352 | Last Output: 4.822 | Label: 5
i:25000 | Mean Loss: 8.309 | Last Output: 4.528 | Label: 3
i:30000 | Mean Loss: 8.282 | Last Output: 4.333 | Label: 3
i:35000 | Mean Loss: 8.288 | Last Output: 4.312 | Label: 1
i:40000 | Mean Loss: 8.279 | Last Output: 4.536 | Label: 7
i:45000 | Mean Loss: 8.295 | Last Output: 3.992 | Label: 3
i:50000 | Mean Loss: 8.293 | Last Output: 3.965 | Label: 3
i:55000 | Mean Loss: 8.282 | Last Output: 4.775 | Label: 1
Epoch: 2 | Loss: 8.263 | Train Accuracy: 0.09512 | Test Accuracy: 0.0944
i:0 | Mean Loss: 0.02771 | Last Output: 4.834 | Label: 5
i:5000 | Mean Loss: 8.09 | Last Output: 5.422 | Label: 7
i:10000 | Mean Loss: 8.179 | Last Output: 4.297 | Label: 3
i:15000 | Mean Loss: 8.247 | Last Output: 4.828 | Label: 5
i:20000 | Mean Loss: 8.247 | Last Output: 4.85 | Label: 5
i:25000 | Mean Loss: 8.205 | Last Output: 4.538 | Label: 3
i:30000 | Mean Loss: 8.178 | Last Output: 4.227 | Label: 3
i:35000 | Mean Loss: 8.185 | Last Output: 4.283 | Label: 1
i:40000 | Mean Loss: 8.176 | Last Output: 4.443 | Label: 7
i:45000 | Mean Loss: 8.194 | Last Output: 3.978 | Label: 3
i:50000 | Mean Loss: 8.193 | Last Output: 4.006 | Label: 3
i:55000 | Mean Loss: 8.183 | Last Output: 4.762 | Label: 1
Epoch: 3 | Loss: 8.165 | Train Accuracy: 0.09373 | Test Accuracy: 0.0937
i:0 | Mean Loss: 0.1992 | Last Output: 4.554 | Label: 5
i:5000 | Mean Loss: 7.999 | Last Output: 5.5 | Label: 7
i:10000 | Mean Loss: 8.088 | Last Output: 4.405 | Label: 3
i:15000 | Mean Loss: 8.161 | Last Output: 4.825 | Label: 5
i:20000 | Mean Loss: 8.16 | Last Output: 4.896 | Label: 5
i:25000 | Mean Loss: 8.119 | Last Output: 4.535 | Label: 3
i:30000 | Mean Loss: 8.092 | Last Output: 4.056 | Label: 3
i:35000 | Mean Loss: 8.099 | Last Output: 4.208 | Label: 1
i:40000 | Mean Loss: 8.091 | Last Output: 4.379 | Label: 7
i:45000 | Mean Loss: 8.11 | Last Output: 3.946 | Label: 3
i:50000 | Mean Loss: 8.11 | Last Output: 4.055 | Label: 3
i:55000 | Mean Loss: 8.101 | Last Output: 4.734 | Label: 1
Epoch: 4 | Loss: 8.082 | Train Accuracy: 0.09308 | Test Accuracy: 0.0924
i:0 | Mean Loss: 0.4529 | Last Output: 4.327 | Label: 5
i:5000 | Mean Loss: 8.932 | Last Output: 5.785 | Label: 7
i:10000 | Mean Loss: 8.685 | Last Output: 4.48 | Label: 3
i:15000 | Mean Loss: 8.597 | Last Output: 5.034 | Label: 5
i:20000 | Mean Loss: 8.514 | Last Output: 4.531 | Label: 5
i:25000 | Mean Loss: 8.418 | Last Output: 4.608 | Label: 3
i:30000 | Mean Loss: 8.357 | Last Output: 4.086 | Label: 3
i:35000 | Mean Loss: 8.315 | Last Output: 3.906 | Label: 1
i:40000 | Mean Loss: 8.278 | Last Output: 5.523 | Label: 7
i:45000 | Mean Loss: 8.266 | Last Output: 4.197 | Label: 3
i:50000 | Mean Loss: 8.237 | Last Output: 4.386 | Label: 3
i:55000 | Mean Loss: 8.2 | Last Output: 3.975 | Label: 1
Epoch: 5 | Loss: 8.151 | Train Accuracy: 0.0941 | Test Accuracy: 0.0966
i:0 | Mean Loss: 0.9125 | Last Output: 4.045 | Label: 5
i:5000 | Mean Loss: 7.356 | Last Output: 4.536 | Label: 7
i:10000 | Mean Loss: 7.519 | Last Output: 3.726 | Label: 3
i:15000 | Mean Loss: 7.61 | Last Output: 5.021 | Label: 5
i:20000 | Mean Loss: 7.588 | Last Output: 4.379 | Label: 5
i:25000 | Mean Loss: 7.565 | Last Output: 5.128 | Label: 3
i:30000 | Mean Loss: 7.524 | Last Output: 3.895 | Label: 3
i:35000 | Mean Loss: 7.513 | Last Output: 3.498 | Label: 1
i:40000 | Mean Loss: 7.489 | Last Output: 5.915 | Label: 7
i:45000 | Mean Loss: 7.493 | Last Output: 3.822 | Label: 3
i:50000 | Mean Loss: 7.482 | Last Output: 4.505 | Label: 3
i:55000 | Mean Loss: 7.453 | Last Output: 3.442 | Label: 1
Epoch: 6 | Loss: 7.412 | Train Accuracy: 0.09985 | Test Accuracy: 0.105
i:0 | Mean Loss: 0.6465 | Last Output: 4.196 | Label: 5
i:5000 | Mean Loss: 6.756 | Last Output: 4.832 | Label: 7
i:10000 | Mean Loss: 6.875 | Last Output: 3.365 | Label: 3
i:15000 | Mean Loss: 6.969 | Last Output: 4.722 | Label: 5
i:20000 | Mean Loss: 6.951 | Last Output: 3.587 | Label: 5
i:25000 | Mean Loss: 6.951 | Last Output: 6.021 | Label: 3
i:30000 | Mean Loss: 6.908 | Last Output: 3.68 | Label: 3
i:35000 | Mean Loss: 6.907 | Last Output: 2.858 | Label: 1
i:40000 | Mean Loss: 6.879 | Last Output: 6.244 | Label: 7
i:45000 | Mean Loss: 6.889 | Last Output: 3.701 | Label: 3
i:50000 | Mean Loss: 6.879 | Last Output: 4.657 | Label: 3
i:55000 | Mean Loss: 6.853 | Last Output: 3.035 | Label: 1
Epoch: 7 | Loss: 6.814 | Train Accuracy: 0.1098 | Test Accuracy: 0.1157
i:0 | Mean Loss: 0.6723 | Last Output: 4.18 | Label: 5
i:5000 | Mean Loss: 6.213 | Last Output: 4.905 | Label: 7
i:10000 | Mean Loss: 6.323 | Last Output: 3.404 | Label: 3
i:15000 | Mean Loss: 6.411 | Last Output: 4.912 | Label: 5
i:20000 | Mean Loss: 6.407 | Last Output: 4.539 | Label: 5
i:25000 | Mean Loss: 6.421 | Last Output: 6.598 | Label: 3
i:30000 | Mean Loss: 6.376 | Last Output: 3.573 | Label: 3
i:35000 | Mean Loss: 6.367 | Last Output: 2.22 | Label: 1
i:40000 | Mean Loss: 6.336 | Last Output: 6.024 | Label: 7
i:45000 | Mean Loss: 6.346 | Last Output: 3.676 | Label: 3
i:50000 | Mean Loss: 6.335 | Last Output: 4.844 | Label: 3
i:55000 | Mean Loss: 6.308 | Last Output: 2.782 | Label: 1
Epoch: 8 | Loss: 6.272 | Train Accuracy: 0.1234 | Test Accuracy: 0.1238
i:0 | Mean Loss: 0.6841 | Last Output: 4.173 | Label: 5
i:5000 | Mean Loss: 5.754 | Last Output: 5.644 | Label: 7
i:10000 | Mean Loss: 5.828 | Last Output: 3.032 | Label: 3
i:15000 | Mean Loss: 5.906 | Last Output: 5.113 | Label: 5
i:20000 | Mean Loss: 5.912 | Last Output: 4.504 | Label: 5
i:25000 | Mean Loss: 5.94 | Last Output: 7.038 | Label: 3
i:30000 | Mean Loss: 5.897 | Last Output: 3.532 | Label: 3
i:35000 | Mean Loss: 5.886 | Last Output: 2.027 | Label: 1
i:40000 | Mean Loss: 5.855 | Last Output: 6.193 | Label: 7
i:45000 | Mean Loss: 5.86 | Last Output: 3.547 | Label: 3
i:50000 | Mean Loss: 5.847 | Last Output: 4.675 | Label: 3
i:55000 | Mean Loss: 5.821 | Last Output: 2.585 | Label: 1
Epoch: 9 | Loss: 5.788 | Train Accuracy: 0.1368 | Test Accuracy: 0.1312
i:0 | Mean Loss: 0.5858 | Last Output: 4.235 | Label: 5
i:5000 | Mean Loss: 5.32 | Last Output: 5.8 | Label: 7
i:10000 | Mean Loss: 5.376 | Last Output: 3.55 | Label: 3
i:15000 | Mean Loss: 5.443 | Last Output: 5.47 | Label: 5
i:20000 | Mean Loss: 5.45 | Last Output: 3.938 | Label: 5
i:25000 | Mean Loss: 5.49 | Last Output: 6.895 | Label: 3
i:30000 | Mean Loss: 5.451 | Last Output: 3.374 | Label: 3
i:35000 | Mean Loss: 5.445 | Last Output: 2.305 | Label: 1
i:40000 | Mean Loss: 5.413 | Last Output: 6.391 | Label: 7
i:45000 | Mean Loss: 5.417 | Last Output: 3.31 | Label: 3
i:50000 | Mean Loss: 5.401 | Last Output: 4.143 | Label: 3
i:55000 | Mean Loss: 5.377 | Last Output: 2.653 | Label: 1
Epoch: 10 | Loss: 5.354 | Train Accuracy: 0.1511 | Test Accuracy: 0.1344
i:0 | Mean Loss: 0.8845 | Last Output: 4.06 | Label: 5
i:5000 | Mean Loss: 4.947 | Last Output: 5.77 | Label: 7
i:10000 | Mean Loss: 4.988 | Last Output: 4.03 | Label: 3
i:15000 | Mean Loss: 5.057 | Last Output: 4.669 | Label: 5
i:20000 | Mean Loss: 5.057 | Last Output: 4.385 | Label: 5
i:25000 | Mean Loss: 5.106 | Last Output: 7.332 | Label: 3
i:30000 | Mean Loss: 5.068 | Last Output: 2.98 | Label: 3
i:35000 | Mean Loss: 5.059 | Last Output: 1.881 | Label: 1
i:40000 | Mean Loss: 5.032 | Last Output: 6.663 | Label: 7
i:45000 | Mean Loss: 5.031 | Last Output: 3.347 | Label: 3
i:50000 | Mean Loss: 5.014 | Last Output: 3.639 | Label: 3
i:55000 | Mean Loss: 4.994 | Last Output: 2.824 | Label: 1
Epoch: 11 | Loss: 4.975 | Train Accuracy: 0.1633 | Test Accuracy: 0.1416
i:0 | Mean Loss: 0.6647 | Last Output: 4.185 | Label: 5
i:5000 | Mean Loss: 4.631 | Last Output: 5.599 | Label: 7
i:10000 | Mean Loss: 4.685 | Last Output: 4.512 | Label: 3
i:15000 | Mean Loss: 4.74 | Last Output: 4.691 | Label: 5
i:20000 | Mean Loss: 4.734 | Last Output: 4.593 | Label: 5
i:25000 | Mean Loss: 4.782 | Last Output: 6.921 | Label: 3
i:30000 | Mean Loss: 4.742 | Last Output: 3.023 | Label: 3
i:35000 | Mean Loss: 4.735 | Last Output: 1.777 | Label: 1
i:40000 | Mean Loss: 4.712 | Last Output: 6.852 | Label: 7
i:45000 | Mean Loss: 4.711 | Last Output: 3.111 | Label: 3
i:50000 | Mean Loss: 4.692 | Last Output: 3.321 | Label: 3
i:55000 | Mean Loss: 4.674 | Last Output: 2.892 | Label: 1
Epoch: 12 | Loss: 4.657 | Train Accuracy: 0.175 | Test Accuracy: 0.1463
i:0 | Mean Loss: 0.931 | Last Output: 4.035 | Label: 5
i:5000 | Mean Loss: 4.345 | Last Output: 5.488 | Label: 7
i:10000 | Mean Loss: 4.395 | Last Output: 4.909 | Label: 3
i:15000 | Mean Loss: 4.454 | Last Output: 4.911 | Label: 5
i:20000 | Mean Loss: 4.449 | Last Output: 4.581 | Label: 5
i:25000 | Mean Loss: 4.5 | Last Output: 6.278 | Label: 3
i:30000 | Mean Loss: 4.458 | Last Output: 3.074 | Label: 3
i:35000 | Mean Loss: 4.456 | Last Output: 1.766 | Label: 1
i:40000 | Mean Loss: 4.44 | Last Output: 6.664 | Label: 7
i:45000 | Mean Loss: 4.434 | Last Output: 3.147 | Label: 3
i:50000 | Mean Loss: 4.417 | Last Output: 3.562 | Label: 3
i:55000 | Mean Loss: 4.397 | Last Output: 2.959 | Label: 1
Epoch: 13 | Loss: 4.383 | Train Accuracy: 0.1843 | Test Accuracy: 0.144
i:0 | Mean Loss: 0.9386 | Last Output: 4.031 | Label: 5
i:5000 | Mean Loss: 4.103 | Last Output: 6.035 | Label: 7
i:10000 | Mean Loss: 4.164 | Last Output: 5.071 | Label: 3
i:15000 | Mean Loss: 4.226 | Last Output: 4.664 | Label: 5
i:20000 | Mean Loss: 4.213 | Last Output: 4.11 | Label: 5
i:25000 | Mean Loss: 4.262 | Last Output: 6.016 | Label: 3
i:30000 | Mean Loss: 4.225 | Last Output: 2.866 | Label: 3
i:35000 | Mean Loss: 4.227 | Last Output: 1.925 | Label: 1
i:40000 | Mean Loss: 4.212 | Last Output: 6.285 | Label: 7
i:45000 | Mean Loss: 4.203 | Last Output: 3.377 | Label: 3
i:50000 | Mean Loss: 4.187 | Last Output: 3.377 | Label: 3
i:55000 | Mean Loss: 4.172 | Last Output: 2.924 | Label: 1
Epoch: 14 | Loss: 4.157 | Train Accuracy: 0.1921 | Test Accuracy: 0.1507
i:0 | Mean Loss: 0.1788 | Last Output: 4.577 | Label: 5
i:5000 | Mean Loss: 3.937 | Last Output: 6.214 | Label: 7
i:10000 | Mean Loss: 3.976 | Last Output: 5.433 | Label: 3
i:15000 | Mean Loss: 4.02 | Last Output: 4.424 | Label: 5
i:20000 | Mean Loss: 4.007 | Last Output: 4.193 | Label: 5
i:25000 | Mean Loss: 4.056 | Last Output: 5.795 | Label: 3
i:30000 | Mean Loss: 4.021 | Last Output: 2.921 | Label: 3
i:35000 | Mean Loss: 4.021 | Last Output: 2.081 | Label: 1
i:40000 | Mean Loss: 4.006 | Last Output: 6.566 | Label: 7
i:45000 | Mean Loss: 3.996 | Last Output: 3.195 | Label: 3
i:50000 | Mean Loss: 3.979 | Last Output: 3.48 | Label: 3
i:55000 | Mean Loss: 3.965 | Last Output: 2.009 | Label: 1
Epoch: 15 | Loss: 3.948 | Train Accuracy: 0.1991 | Test Accuracy: 0.1522
i:0 | Mean Loss: 0.7645 | Last Output: 5.874 | Label: 5
i:5000 | Mean Loss: 3.76 | Last Output: 6.286 | Label: 7
i:10000 | Mean Loss: 3.822 | Last Output: 5.287 | Label: 3
i:15000 | Mean Loss: 3.86 | Last Output: 4.45 | Label: 5
i:20000 | Mean Loss: 3.83 | Last Output: 4.461 | Label: 5
i:25000 | Mean Loss: 3.881 | Last Output: 4.909 | Label: 3
i:30000 | Mean Loss: 3.848 | Last Output: 2.938 | Label: 3
i:35000 | Mean Loss: 3.849 | Last Output: 2.277 | Label: 1
i:40000 | Mean Loss: 3.835 | Last Output: 6.03 | Label: 7
i:45000 | Mean Loss: 3.824 | Last Output: 3.402 | Label: 3
i:50000 | Mean Loss: 3.81 | Last Output: 3.495 | Label: 3
i:55000 | Mean Loss: 3.798 | Last Output: 1.432 | Label: 1
Epoch: 16 | Loss: 3.782 | Train Accuracy: 0.2085 | Test Accuracy: 0.1547
i:0 | Mean Loss: 0.6204 | Last Output: 5.788 | Label: 5
i:5000 | Mean Loss: 3.597 | Last Output: 6.307 | Label: 7
i:10000 | Mean Loss: 3.606 | Last Output: 5.355 | Label: 3
i:15000 | Mean Loss: 3.641 | Last Output: 4.373 | Label: 5
i:20000 | Mean Loss: 3.616 | Last Output: 4.568 | Label: 5
i:25000 | Mean Loss: 3.674 | Last Output: 4.794 | Label: 3
i:30000 | Mean Loss: 3.652 | Last Output: 2.924 | Label: 3
i:35000 | Mean Loss: 3.659 | Last Output: 2.516 | Label: 1
i:40000 | Mean Loss: 3.653 | Last Output: 5.957 | Label: 7
i:45000 | Mean Loss: 3.648 | Last Output: 4.083 | Label: 3
i:50000 | Mean Loss: 3.633 | Last Output: 3.252 | Label: 3
i:55000 | Mean Loss: 3.627 | Last Output: 1.305 | Label: 1
Epoch: 17 | Loss: 3.613 | Train Accuracy: 0.2149 | Test Accuracy: 0.1565
i:0 | Mean Loss: 0.1888 | Last Output: 5.434 | Label: 5
i:5000 | Mean Loss: 3.445 | Last Output: 6.364 | Label: 7
i:10000 | Mean Loss: 3.454 | Last Output: 5.489 | Label: 3
i:15000 | Mean Loss: 3.482 | Last Output: 4.147 | Label: 5
i:20000 | Mean Loss: 3.458 | Last Output: 4.111 | Label: 5
i:25000 | Mean Loss: 3.52 | Last Output: 4.616 | Label: 3
i:30000 | Mean Loss: 3.506 | Last Output: 3.413 | Label: 3
i:35000 | Mean Loss: 3.516 | Last Output: 2.306 | Label: 1
i:40000 | Mean Loss: 3.511 | Last Output: 6.025 | Label: 7
i:45000 | Mean Loss: 3.504 | Last Output: 4.439 | Label: 3
i:50000 | Mean Loss: 3.491 | Last Output: 3.254 | Label: 3
i:55000 | Mean Loss: 3.484 | Last Output: 1.116 | Label: 1
Epoch: 18 | Loss: 3.471 | Train Accuracy: 0.2215 | Test Accuracy: 0.156
i:0 | Mean Loss: 0.06668 | Last Output: 5.258 | Label: 5
i:5000 | Mean Loss: 3.315 | Last Output: 6.18 | Label: 7
i:10000 | Mean Loss: 3.33 | Last Output: 4.915 | Label: 3
i:15000 | Mean Loss: 3.351 | Last Output: 4.333 | Label: 5
i:20000 | Mean Loss: 3.322 | Last Output: 4.956 | Label: 5
i:25000 | Mean Loss: 3.388 | Last Output: 4.586 | Label: 3
